latitude,longitude,ptype,property value
42.3784440833112, -71.0291662335367, 327, 700000
42.3796726071429, -71.0272435714286, 333, 814100
42.379377, -71.027167, 320, 220500
42.3788482727273, -71.0280949318182, 343, 391000
42.3784932885215, -71.0290374941176, 343, 189000
42.3810536938775, -71.0281571020408, 332, 268000
42.3810224693878, -71.0281375102041, 332, 215000
42.3789611818182, -71.0277877045454, 325, 112500
42.3789235454545, -71.0278901136364, 325, 248000
42.3788859090909, -71.0279925227273, 320, 1723000
42.38134, -71.028593, 337, 74500
42.38134, -71.028593, 337, 89300
42.3927199, -71.1071165, 337, 42300
42.3927199, -71.1071165, 337, 35700
42.3927199, -71.1071165, 316, 446000
42.3927199, -71.1071165, 316, 446000
42.38128, -71.026395, 343, 407000
42.3804783684211, -71.0275507368421, 332, 465500
42.378166, -71.028997, 319, 353500
42.3784095555556, -71.0287045555556, 337, 108000
42.3785922222222, -71.0284852222222, 342, 193500
42.3794285306122, -71.0270374081633, 333, 516100
42.3801978, -71.0257445, 337, 26000
42.3786803333333, -71.027654, 332, 87500
42.3801978, -71.0257445, 337, 59800
42.3779807333333, -71.0284676, 337, 46800
42.3776064615385, -71.0281992307692, 332, 417000
42.3875974, -70.9908829, 387, 8558000
42.407433, -71.124535, 420, 1944400
42.3840287762166, -71.0224505265865, 446, 440100
42.383155, -71.0232196666667, 420, 1748700
42.3825819473684, -71.0238775789474, 420, 1215400
42.3805062794118, -71.0265853970588, 332, 994000
42.38053275, -71.02655775, 316, 663200
42.3719497, -71.0608916, 420, 4112200
42.3800165299783, -71.0261353411204, 335, 321500
42.3794924285714, -71.0268767142857, 326, 349500
42.3885522, -70.999521, 326, 68000
42.3794512040816, -71.0269803877551, 317, 884500
42.3800800416667, -71.0271593333333, 319, 1893000
42.3814823877551, -71.0230561632653, 320, 820500
42.3814823877551, -71.0230561632653, 320, 820500
42.380402, -71.025935, 320, 523500
42.379574877551, -71.0266693673469, 320, 53000
42.3808549807692, -71.0227417884615, 343, 154500
42.3811774117647, -71.0226392941176, 465, 1325500
42.3870866646342, -71.0077307013003, 337, 103200
42.3866407, -71.0069806, 407, 560500
42.3849646818182, -71.0142153181818, 343, 497000
42.3853344003682, -71.0156709360607, 316, 22430500
42.3845606, -71.0153114, 320, 199000
42.3844095, -71.0154583, 465, 423500
42.3855605703427, -71.0175362174412, 332, 619000
42.3850251, -71.0146875, 332, 219700
42.3854974987332, -71.0172594203481, 332, 205000
42.3850251, -71.0146875, 317, 200000
42.3852031645553, -71.0159677005802, 343, 607500
42.3851926526204, -71.0159215677314, 317, 558262
42.407433, -71.124535, 316, 258206
42.3826781666667, -71.0210675833333, 325, 202794
42.3817251, -71.0226633, 341, 2394000
42.3822190645161, -71.0210714516129, 320, 252500
42.3813046666667, -71.0200966458333, 320, 378500
42.3820563235294, -71.0202604705882, 353, 181700
42.3813133333333, -71.0201022916667, 343, 192000
42.383463, -71.016481, 320, 92500
42.3833961290323, -71.0166597419355, 343, 192500
42.383841, -71.016728, 325, 746000
42.3837024, -71.0158362, 351, 131500
42.3854909387755, -71.0102840102041, 320, 607500
42.3851310512821, -71.011710025641, 328, 414000
42.3859060533358, -71.0048531888628, 319, 790000
42.3858272763497, -71.0046587515448, 319, 281500
42.383126, -70.9969305, 351, 1551000
42.3845155, -70.9991184599676, 320, 6122500
42.3849816973408, -71.0018036761081, 328, 529000
42.3850066086489, -71.0018738482482, 343, 614000
42.384512, -71.00076, 316, 533000
42.3870212998659, -71.0060929778841, 465, 97500
42.3878494946149, -71.0034655484657, 332, 438900
42.3881149713389, -71.0020872243822, 401, 1315953
42.3881149713389, -71.0020872243822, 401, 1315953
42.38857, -70.9993668, 440, 68442
